Image link,Event name,Theme,Location,Start date option 1,Start date option 2,Start date option 3,Description,Price,Website
https://classbento.co.uk/images/class/wheel-throwing-course-five-weeks-london-portrait-big.jpg?1652966452,Wheel Throwing Course,Pottery,"Sak Beh Studio Pottery - 3 Garnham Street, London, N16 7JA, England","Satuday 3rd February, 3pm - 5pm. 5 weeks same day and time ","Sunday 11th February, 10am - 12pm. 5 weeks same day and time ","Saturday 9th March, 3pm - 5pm. 5 weeks same day and time","Kickstart your pottery journey with our 5-week wheel throwing course in London, designed for beginners. Craft and take home your own pottery pieces, with all materials and firings included.
Week 1: Dive into clay preparation, wheel throwing basics, and practice shaping your pot.
Week 2: Enhance your skills with more complex forms and learn to use shaping tools for taller creations.
Week 3: Master the art of trimming, shaping, and adding foot rings to your pots.
Week 4: Explore decoration techniques using colored slips and surface patterns for unique designs.
Week 5: Complete your creations with glazing, choosing from 14 beautiful glaze options.
Collect your finished work two weeks post-course, available for a month due to storage constraints. Join us for a hands-on experience and leave with new skills and beautiful pottery!",£230,https://classbento.co.uk/wheel-throwing-course-five-weeks-london
https://classbento.co.uk/images/class/quilting-sewing-course-portrait-big.jpg?1657277901,"Quilting Sewing Course
",Textiles,"Craft My Day - 42 Central Road, Worcester Park, Kt4 8hy

","Tuesday 6th February, 6:45- 9:45pm4 weeks same day and time",,,"Craft your own quilt in a 4-week sewing class in Worcester Park, under the guidance of experienced tutor Anna from The Sewing Nut Studio.
Learn quilting essentials: design, cutting, patchworking, and binding, with a focus on the quilting stitch to bring layers together.
Explore various methods and choose the best for your project, creating a lap or cot-sized quilt with personalized guidance.
Bring your own fabric to infuse personal style into your quilt, with detailed prep instructions provided.
Conclude with inspiration for future projects and resources to continue your quilting journey, celebrating your newfound skills and beautiful creation.",£175,https://classbento.co.uk/quilting-sewing-course
https://classbento.co.uk/images/class/beginners-crochet-course-london-portrait-big.jpg?1682598251,"Beginners' Crochet Course",Textiles,"Four Otter Craft Studio, Blue House Yard, Wood Gre - River Park Road, Alexandra Palace, N22 7TB, England
",Satuday 10th February 10am - 12pm 3 weeks same day and time ,"Wednesday 3rd April, 6:30 - 8:30pm. 3 weeks same day and time",,"Embark on a crochet journey with our 3-week course, transforming beginners into skilled enthusiasts ready for more complex projects.
Learn essential crochet skills: chaining, basic stitches (single, double, treble), crafting a granny square, and creating an amigurumi sphere.
Benefit from the support and hands-on guidance of our friendly instructor, perfecting your technique and building confidence.
Complete the course ready to explore adventurous stitches or begin your own DIY crochet projects, equipped with a solid foundation in crochet fundamentals.",£120,https://classbento.co.uk/beginners-crochet-course-london
https://classbento.co.uk/images/class/4-week-painting-course-london-portrait-big.jpg?1704663809,"4 Week Painting Course
",Arts and Crafts,"Two more years - 7 Roach Rd Fish Island Hackney Wick London E3 2PA

","Thursday 22nd February, 7pm - 9pm  - 3 weeks same day and time ","Sunday 24th March, 6:30pm - 8:30pm - 3 weeks same day and time ",,"Join us for a 4-week acrylic painting course in which we will cover fundamental techniques, colour theory, brushwork, and composition. Each week will focus on a specific aspect, gradually building your skills. Expect hands-on practise, constructive feedback, and the opportunity to explore your artistic style. The course aims to provide a solid foundation for expressing your creativity through acrylics.

You'll have the privilege of learning from a trained artist in a charming canal-side creative venue. The cosy upstairs studio provides an inspiring atmosphere, and you'll also have the option to enjoy drinks and food available at the restaurant downstairs, making it a delightful artistic experience.",£150,https://classbento.co.uk/4-week-painting-course-london
https://classbento.co.uk/images/class/beginners-crochet-course-london-portrait-big.jpg?1682598251,"Beginners' Crochet Course
",textiles,"Four Otter Craft Studio, Blue House Yard, Wood Gre - River Park Road, Alexandra Palace, N22 7TB, England

","Satuday 10th February, 10am - 12pm - 3 weeks same day and time","Wednesday 3rd April, 6:30 - 8:30pm. 3 weeks same day and time",,"Always wanted to know how to crochet? This fun and friendly course will take you from novice knitter to natural in just three weeks!

During this basic crochet class, you will learn:
How to chain
How to make basic stitches - single, double and treble crochet
How to make a granny square
How to make an amigurumi sphere

Throughout this course, you will receive support and hands-on help from your friendly teacher as you learn fundamental techniques and best practise – get ready to unleash your inner hooker!

At the end of this fun craft course, you will have built up your confidence to move onto the next class, and tackle more adventurous stitches or to tackle your first DIY project.",£120,https://classbento.co.uk/beginners-crochet-course-london
https://classbento.co.uk/images/class/printmaking-course-london-portrait-big.jpg?1624454018,"Printmaking Course
",Arts and Crafts,"Unit 151 Battersea Business Centre, 99-109 Lavender Hill, Battersea, SW11 5QL
","Monday 26th February, 7pm - 9pm - 4 weeks same day and time ",,,"Dive into the art of printmaking with Lavender Print School's four-week course, perfect for beginners and enthusiasts alike.
Learn key techniques: lino printing, drypoint, image transfer, and diverse mark-making with various tools.
Experiment with oil and water-based inks, master registration, and explore the Chine-collé technique for added depth.
Experience hands-on learning with passionate printmaker Lorenzo, ready to inspire and guide you through your printmaking journey.
Finish with newfound confidence, a wealth of printmaking knowledge, and a collection of your own handmade prints to treasure.",£160,https://classbento.co.uk/printmaking-course-london
https://classbento.co.uk/images/class/acrylic-painting-course-london-portrait-big.jpg?1683196700,"Acrylic Painting Course",Arts and Crafts,"Southgate methodist church - N14 6RS

","Tuesday 20th February, 8pm - 9:30pm - 6 week same day and time ","Tuesday 27th February, 8pm - 9:30pm - 6 week same day and time ","Tuesday 5th March, 8pm - 9:30pm - 6 week same day and time ","Unleash your creativity with a six-week acrylic art course guided by experienced artist Gee. Perfect for all skill levels, from novices to seasoned painters.
Discover the versatility of acrylics and watercolors through engaging sessions, introducing new techniques and processes each week.
Enjoy a relaxed atmosphere filled with good vibes, ideal for exploring artistic expression and refining your painting skills.
Benefit from Gee's step-by-step guidance, covering various painting techniques, ensuring you develop confidence and proficiency in your art.",£155,https://classbento.co.uk/acrylic-painting-course-london
https://classbento.co.uk/images/class/freestyle-painting-course-london-portrait-big.jpg?1674739008,"Freestyle Painting Course",Arts and Crafts,"Southgate methodist church - N14 6RS
","Tuesday 20th February, 7pm - 8:30pm - 6 week same day and time ","Tuesday 27th February, 7pm - 8:30pm - 6 week same day and time ","Tuesday 5th March, 7pm - 8:30pm - 6 week same day and time ","Ignite your artistic passion with a dynamic six-week painting course led by the talented Gee. Explore a range of mediums including acrylics, spray paint, watercolors, and oils.
Dive into each class with excitement, learning diverse artistic skills and techniques that will bring your creative visions to life.
Choose your theme and embark on a journey to create personal and meaningful artwork, experiencing a variety of exciting outcomes.
Ideal for unwinding and connecting with your inner artist, this course promises inspiration, new knowledge, and a deeper engagement with art.",£160,https://classbento.co.uk/freestyle-painting-course-london
https://classbento.co.uk/images/class/portrait-painting-course-for-beginners-london-portrait-big.jpg?1646842705,"Portrait Painting Course for Beginners",Arts and Crafts,"ARTS THEATRE - Great Newport Street, London, WC2H 7JB, England

","Monday 19th April, 6:45pm - 9:15pm - 3 weeks same day and time ","Monday 13th May, 6:45pm - 9:15pm - 3 weeks same day and time ",,"Unleash your artistic talents in a three-week portrait painting course led by a skilled artist, complete with all necessary art supplies.
Perfect for both beginners and those looking to enhance their skills, this London-based course offers a creative escape and skill-building in a relaxed setting.
Gain a strong foundation in portrait essentials, from capturing likenesses to mastering composition and brush techniques.
Delve into a variety of mediums including drawing, pastels, and painting, honing your skills in shading, proportions, and tone.
The course unfolds in stages: starting with understanding facial structures and sketching self-portraits, advancing to working with models and exploring color theory, and culminating in creating a detailed portrait with water-mixable oil paints.
Walk away with newfound skills, a deeper understanding of portrait painting, and your own completed works to inspire future creations.",£125,https://classbento.co.uk/portrait-painting-course-for-beginners-london
https://classbento.co.uk/images/class/silver-jewellery-course-5-week-term-bromley-portrait-big.jpg?1706534081,Silver Jewellery Course,Jewellery,"Manor Park, Chislehurst, BR7 5QE

","Sunday 25th February, 6:30pm - 9:30pm - 5 weeks same day and time ","Sunday 10th March, 6:30pm - 9:30pm - 5 weeks same day and time ","Sunday 13th May, 6:30pm - 9:30pm - 5 weeks same day and time ","Embark on your journey learning the fundamentals of handcrafting your own silver jewellery in our Beginner Silver Jewellery course.

Over the course of 5 Mondays, this beginner-friendly course will guide you through fundamental techniques and skills to be able to transform metal into your own wearable jewellery.

Learn through hands-on projects to:
Size and make the perfect-fitting silver ring
Master soldering through fabricating a chain-link bracelet
Pierce/saw sheet metal to craft your own pendant
Texture, file, shape, finish, and so much more!

The class is suitable for complete beginners or improvers who want to hone their skills.

By the end of this immersive beginner jewellery-making experience, you'll not only have your own creations to keep but also the skills to make more!",£242,https://classbento.co.uk/silver-jewellery-course-5-week-term-bromley
https://classbento.co.uk/images/class/introduction-to-drawing-4-week-course-london-portrait-big.jpg?1698932065,"Introduction to Drawing
",Arts and Crafts,"Art Play - 16 horner square, E16EW

","Monday 4th March, 6pm - 8pm - 4 weeks same day and time ","Monday 29th April, 6:45pm - 9:15pm - 3 weeks same day and time ",,"Discover your artistic flair with Art Play London's ""Introduction to Drawing"" course, spanning four weeks of immersive learning and creativity.
Delve into essential drawing principles, mastering line, shape, form, composition, and perspective, suitable for beginners or those refining their skills.
Experiment with various pencil types, understanding their unique properties to enhance your drawings with depth and texture.
Learn advanced shading techniques like hatching, cross-hatching, blending, and stippling, adding dimension to your artwork.
Enhance your observational skills, accurately capturing the essence of subjects with guidance from a skilled artist.
Enjoy personalized instruction in a small class setting, with all necessary materials provided, welcoming all skill levels.
Course breakdown: Week 1 focuses on drawing fundamentals, Week 2 on pencil techniques, Week 3 on shading and texture, concluding with Week 4's observational drawing.
Embrace the joy of drawing in a supportive environment, unlocking your potential at Art Play London.",£146,https://classbento.co.uk/introduction-to-drawing-4-week-course-london
https://classbento.co.uk/images/class_extra/ceramics-course-6-weeks-london-5-portrait-big.jpg?1666627663,Ceramics Course,Pottery,"The Ceramicists - SPACE Studios, Unit 4G, 90 Haymerle Road, SE15 6SB London

","Sunday 3rd March, 4:30pm - 7pm - 6 weeks same day and time ",Monday 4th March 6:30pm - 9pm - 6 weeks same day and time  ,,"Jump into the world of pottery with our comprehensive six-session course in London, perfect for beginners eager to craft their own ceramic creations.
Gain a robust foundation in all key pottery techniques: from hand-building, slip casting, and wheel throwing, to slab building and sculpting with coils, ensuring you're well-equipped to continue independently.
Week-by-week breakdown:
Week 1: Start with an overview of pottery, studio safety, and dive into pinching pots, concluding with an introduction to glazing.
Week 2: Explore coiling techniques for vessels or sculptures, embracing one of the oldest sculpting methods.
Week 3: Discover slab building, focusing on structural and geometric designs.
Week 4: Learn the art of wheel throwing and experience slip casting to create precise bowl or cup shapes.
Week 5: Unleash your creativity in decorating, using underglazes, slips, and various texturing methods.
Week 6: Finish your pieces with glazing, applying techniques like brushing, pouring, or dipping to achieve the perfect look.
Materials, including clay and glaze, are provided, with a nominal fee for firing based on the size of your creations.
Conclude the course with a rich understanding of pottery, your own handmade ceramics, and perhaps even a new circle of pottery enthusiasts!",£240,https://classbento.co.uk/ceramics-course-6-weeks-london
https://classbento.co.uk/images/class_extra/mosaic-making-course-london-3-portrait-big.jpg?1621592584,"Mosaic Making Course
",Arts and Crafts,"Art4Space Art Centre - Studio 1, 31 Jeffreys Road

","Tuesday 20th February, 6:30pm - 9pm - 10 weeks same day and time ","Tuesday 27th February, 6:30pm - 9pm - 10 weeks same day and time ","Tuesday 5th March, 6:30pm - 9pm - 10 weeks same day and time ","Unleash your artistic flair with a 10-week mosaic course, offering flexible scheduling to complete sessions within six months on Tuesday nights.
Start with basic techniques and gradually advance to complex mosaic projects under the guidance of skilled artists with over 20 years of experience.
Enjoy crafting in a serene studio with garden access, ideal for sparking creativity and relaxation.
Dive into a vast selection of mosaic materials to create diverse pieces like tiles, plant pots, mirror frames, and table tops.
Conclude the course with newfound mosaic skills, stunning handmade creations, and the confidence to pursue mosaic making independently.",£276,https://classbento.co.uk/mosaic-making-course-london
https://classbento.co.uk/images/class_extra/6-week-beginners-pottery-course-deptford-london-1-portrait-big.jpg?1702909925,6 Week Beginners Pottery Course,Pottery,"2 Harton Street, Deptford, SE8 4 DQ

",Monday 26th February 6:30pm - 9pm - 6 weeks same day and time  ,Wednesday 28th February 6:30pm - 9pm - 6 weeks same day and time  ,"Monday 8th April, 6:30pm - 9pm -  6 weeks same day and time","Enhance your pottery skills with our six-week course in Deptford, blending structured lessons with room for personal exploration in clay work.
Ideal for those with some experience, eager to deepen their understanding and proficiency, especially on the pottery wheel.
Course breakdown:
Weeks 1 & 2: Focus on mastering the essentials of throwing techniques.
Week 3: Learn trimming, handle pulling, and explore handbuilding methods.
Week 4: Tackle larger clay quantities, honing skills in coning and wedging.
Week 5: Further trimming and handbuilding, refining shapes and forms.
Week 6: Discover the art of glazing, adding the finishing touches to your pieces.
Dive deeper into clay manipulation, with ample opportunities to practice on the wheel or delve into handbuilding, tailored to your interests and discussions with the tutor.",£280,https://classbento.co.uk/6-week-beginners-pottery-course-deptford-london
https://classbento.co.uk/images/class/5-weeks-ongoing-pottery-course-london-portrait-big.jpg?1700346963,"Etching and Printmaking Course",Arts and Crafts,"Art Hub Studios - Building 28, Westminster Industrial Estate, Unit 2b, 34 Bowater Rd, London, SE18 5TF

","Saturday 17th February, 11am - 1:30pm - 5 weeks same day and time  ","Saturday 24th February, 11am - 1:30pm - 5 weeks same day and time","Saturday 2nd March, 11am - 1:30pm - 5 weeks same day and time","Elevate your pottery skills from beginner to advanced with our comprehensive courses, offering a deep dive into the art of ceramics.
Begin with wheel-throwing basics, crafting your pottery pieces, then progress to intricate techniques like decorating, trimming, and glazing.
Tackle challenging projects involving lids, spouts, and handles, expanding your creative and technical pottery repertoire.
Opt for the 9 or 12-class option to master advanced handbuilding techniques, further enhancing your ability to create complex and detailed ceramic works.",£280,https://classbento.co.uk/5-weeks-ongoing-pottery-course-london
https://classbento.co.uk/images/class/learn-to-sew-make-a-skirt-evening-course-london-portrait-big.jpg?1673458438,"Learn to Sew - Make a Skirt Evening Course",textiles,"Make Mee Studio Crofton Park Community Library - 375 Brockley Rd, Brockley, London SE4 2AG
","Wednesday 21st February,7pm - 9 pm - 6 weeks same day and time ",,,"Dive into dressmaking with our unique, choose-your-own-adventure style sewing class, where you craft the skirt of your dreams.
Master essential techniques: body measuring, pattern terminology, and garment construction basics, laying a solid foundation for future projects.
Customize your skirt with a variety of seams, fastenings, and hems, tailoring it to your personal style with expert guidance.
Progress at your own pace in a supportive environment, led by experienced instructors.
Conclude the class with not only a stylish, wearable skirt but also a sample book of techniques to inspire and guide your future sewing endeavors.",£200,https://classbento.co.uk/learn-to-sew-make-a-skirt-evening-course-london
https://classbento.co.uk/images/class/hand-building-ceramics-course-london-portrait-big.jpg?1694169030,"Hand-building Ceramics Course
",Pottery,"Art Hub Studios - Building 28, Westminster Industrial Estate, Unit 2b, 34 Bowater Rd, London, SE18 5TF

","Saturday 10th February, 11am - 1:30pm - 6 weeks same day and time ","Saturday 13th April, 11am - 1:30pm - 6 weeks same day and time ",,"Embark on a creative journey with Art Hub Studios, exploring the art of hand-building with clay over six engaging Saturday classes.
Master the fundamental techniques: pinching, coiling, and slab building, to shape your unique ceramic pieces.
Experiment with surface decoration, using slips and glazes to add color and texture to your creations.
Suitable for beginners and those looking to advance their skills, with expert tutors to guide you through more complex projects if desired.
The course layout includes an introduction to clay, techniques like pinch and coil, slab building, decoration with slips, and glazing, ensuring a comprehensive pottery experience.
Enjoy a week's break before the final session, allowing your pieces to dry and be fired, ready for the glazing process, and conclude with your own handcrafted ceramics to enhance your home.",£190,https://classbento.co.uk/hand-building-ceramics-course-london
https://classbento.co.uk/images/class_extra/pottery-course-beginners-6-weeks-london-1-portrait-big.jpg?1697795521,Beginners pottery course ,Pottery,"Unit A, Pearl Building, 4 Scena Way, London SE5 0BH

","Saturday 17th February, 10:30am - 1pm - 6 weeks same day and time ","Saturday 20th April, 10:30am - 1pm - 6 weeks same day and time ","Saturday 8th June, 10:30am - 1pm - 6 weeks same day and time ","Embark on a six-week pottery adventure at Urban Potters in Camberwell, London, perfect for both beginners and those looking to polish their skills.
Learn from experienced teachers in a vibrant studio community, sharing stories and techniques with fellow clay enthusiasts.
Master hand-building methods like pinching, coiling, and slab-building, and take the wheel to learn throwing techniques.
Dive into the finishing touches with turning, surface decoration, and glazing, bringing your creations to life.
Understand the essentials of clay preparation and the differences between earthenware and stoneware firings.
Complete the course enriched with comprehensive pottery skills, deeper process insights, and a supportive new circle of fellow potters.",£220,https://classbento.co.uk/pottery-course-beginners-6-weeks-london
https://classbento.co.uk/images/class/alternative-process-photography-course-london-portrait-big.jpg?1679649882,"Alternative Process Photography Course
",Photography,"Pelican house - 144 Cambridge Heath Road, Bethnal Green, London, E1 5QJ
","Tuesday 7th May, 6pm - 8pm - 3 weeks same day and time ",,,"Dive into the intriguing world of photography with a three-week course in London, perfect for enthusiasts and novices alike, exploring unique photographic processes.
Week 1: Discover the art of cyanotypes or image transfer, learning to prepare light-sensitive paper and create stunning artworks, with options to transfer images onto various mediums.
Week 2: Embrace the magic of painting with light, mastering shutter speed to craft captivating light-painted portraits in a collaborative setting.
Week 3: Craft your own pinhole camera from a simple tin, experiencing the classic process of capturing and developing photos in a darkroom.
Walk away with a diverse portfolio of your creations, enriched with both historical insights and modern techniques in photography.",£180,https://classbento.co.uk/alternative-process-photography-course-london
https://classbento.co.uk/images/class/jewellery-rendering-course-designing-in-gouache-london-portrait-big.jpg?1706881032,"Jewellery Rendering Course - Designing in Gouache",Jewellery,"59 Leather Lane, London, EC1N 7, England
","Wednesday 21st February, 6pm - 8:30pm - 4 weeks same day and time ",,,"Dive into the precision of technical jewellery drawing in a workshop designed for all skill levels, from beginners to advanced learners.
Grasp essential tools and techniques to create accurate designs, crucial for clear communication between designers, clients, and craftsmen, ensuring the final piece aligns perfectly with the intended design.
Draw inspiration from your surroundings to cultivate original ideas and enhance your creative skills in jewellery design.
Create a detailed drawing, adding colour and definition to bring your unique design to life, with tailored guidance for each skill level:
Beginners will master basic shapes, settings, and technical drawing with a mechanical pen.
Intermediate learners will design intricate pieces like brooches or earrings, focusing on composition and rendering techniques.
Advanced students will refine personal or professional projects, elevating their design and watercolour rendering skills.
Experience a day of learning with Bibi, your expert instructor, starting with an introduction, skill assessment, and goals discussion, followed by a demonstration of sketching and colouring techniques.
Apply these techniques to your project, choosing from rings, bracelets, necklaces, brooches, or earrings, with Bibi providing personalized guidance and feedback throughout the workshop.",£300,https://classbento.co.uk/jewellery-rendering-course-designing-in-gouache-london
https://classbento.co.uk/images/class/beginners-drawing-course-london-portrait-big.jpg?1657291384,"Beginners Drawing Course
",Arts and Crafts,"ARTS THEATRE - Great Newport Street, London, WC2H 7JB, England


","Thursday 22nd February, 6:45pm - 9:15pm  - 5 weeks same day and time ","Monday 18th March, 6:45pm - 9:15pm  - 5 weeks same day and time ","Thursday 28th March, 6:45pm - 9:15pm  - 5 weeks same day and time ","Embrace tranquility and creativity in our five-session drawing course, perfect for beginners or anyone seeking a creative refresh in a bustling city life.
Engage with various mediums and techniques, starting from quick sketches to detailed still-life compositions, under the guidance of a supportive artist.
Gain confidence and express yourself through observation drawing, understanding proportion, scale, tone, and perspective.
Experiment with a limited palette, learning to sketch using graphite, charcoal, and pastels, and explore colour mixing and brushwork.
Benefit from the experience of painting life models, both nude and clothed, and master the art of capturing the texture of fabrics on canvas.
Enjoy a friendly, welcoming environment with all art supplies provided, making this course an ideal setting to learn, have fun, and unwind.",£198,https://classbento.co.uk/beginners-drawing-course-london
